INSCRICAO;MATRICULA;ENDERECO
60.010.304.490.000;1583298;RUA DR ENEAS FERREIRA - 513 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.498.000;1583301;RUA DR ENEAS FERREIRA - 519 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.505.000;1583310;RUA DR ENEAS FERREIRA - 525 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.511.000;1583328;RUA DR ENEAS FERREIRA - 531 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.517.000;1583336;RUA DR ENEAS FERREIRA - 537 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.523.000;1583344;RUA DR ENEAS FERREIRA - 545 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.529.000;1583352;RUA DR ENEAS FERREIRA - 551 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.534.000;1583360;RUA DR ENEAS FERREIRA - 553 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.539.000;1583379;RUA DR ENEAS FERREIRA - 557 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.544.000;1583387;RUA DR ENEAS FERREIRA - 563 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.549.000;1583395;RUA DR ENEAS FERREIRA - 569 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.000.002;1583409;PRACA DA LUZ - 80 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.034.007.000;1583417;PRACA DA LUZ - 74 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.012.000;1583425;PRACA DA LUZ - 70 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.017.000;1583433;PRACA DA LUZ - 66 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.022.000;1583441;TRAVESSA MUNICIPAL - 64 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.025.000;1583450;TRAVESSA MUNICIPAL - 3 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.030.001;1583468;TRAVESSA MUNICIPAL - 9 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.304.037.000;1583476;TRAVESSA MUNICIPAL - 21 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.040.000;5347297;PRACA PRES GETULIO VARGAS B GRANDE - 65 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.045.000;1583484;PRACA PRES GETULIO VARGAS B GRANDE - 71 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.050.000;4726499;PRACA PRES GETULIO VARGAS B GRANDE - 77 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.057.000;1583492;PRACA PRES GETULIO VARGAS B GRANDE - 83 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.069.000;1583506;RUA DA MARINA - 7 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.072.000;1593285;RUA DA MARINA - 11 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.075.000;1593293;RUA DA MARINA - 15 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.078.000;1593307;RUA DA MARINA - 19 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.081.000;1583514;RUA DA MARINA - 23 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.093.000;1598619;RUA DA MARINA - 305 - A - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.293.000;4375378;RUA DA MARINA - 305 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.301.303.000;1585304;RUA DA MARINA - 305 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.453.020.000;4245113;PRACA PRES GETULIO VARGAS B GRANDE - 84 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.453.210.000;1583522;PRACA PRES GETULIO VARGAS B GRANDE - 62 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.453.218.000;1583530;PRACA PRES GETULIO VARGAS B GRANDE - 56 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.000.000;1583557;RUA JACKSON DE FIGUEIREDO - 3 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.000.001;6162625;RUA JACKSON DE FIGUEIREDO - 3 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.005.000;1583565;RUA JACKSON DE FIGUEIREDO - 9 - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.011.000;1583573;RUA JACKSON DE FIGUEIREDO - 15 -  - BREJO GRANDE BREJO GRANDE SE 49995-000
60.010.454.017.000;1583581;RUA JACKSON DE FIGUEIREDO - 21 - BREJO GRANDE BREJO GRANDE SE 49995-000
